ID,Edad,Genero,Ingresos_Anuales,HistorialCredito,Casado,FechaNacimiento,Telefono,Pais,CodigoPostal,Prediccion_Default_MLP,Probabilidad_No_Default_MLP,Probabilidad_Si_Default_MLP
1,200.0,f,48000.0,60.0,NO,1990-13-40,305-638-5005,Argentina,B1600,si,0.18747729689639642,0.3280979199729424
2,,femenino,72000.0,60.0,Yes,15-08-2000,312-637-3965,Perú,17001,si,0.18827514493166142,0.33158257511741246
3,52.0,f,10000000.0,85.0,NO,15-08-2000,371-564-6984,Argentina,M5500,si,0.0057090462472772175,0.13354554321046458
4,37.0,femenino,25000.0,0.0,,1985/07/30,322-352-6094,México,44100,si,0.1889355289959387,0.33113063185066777
5,-5.0,masculino,48000.0,0.0,,15-08-2000,345-487-3478,Chile,8320000,si,0.1860008755654434,0.3306183344273593
6,25.0,Female,10000000.0,0.0,N,1985/07/30,356-218-9534,Argentina,M5500,si,0.005887662881456827,0.13516170934601793
7,,Male,72000.0,0.0,Yes,,357-898-3110,Chile,7500000,si,0.18521503694376373,0.33060362602486826
8,52.0,M,48000.0,35.0,No,1978-11-09,330-915-4344,México,01000,si,0.1879455733118929,0.33034755864290766
9,200.0,femenino,48000.0,60.0,NO,15-08-2000,390-296-7159,México,72000,si,0.1848504911102636,0.3304348251273437
10,25.0,femenino,0.0,0.0,No,15-08-2000,369-391-3546,Colombia,11001,si,0.18571347760055354,0.3306442272311328
11,,,10000000.0,60.0,Yes,15-08-2000,382-966-0236,México,64000,si,0.005810797612024927,0.13445901144590183
12,52.0,f,,,N,15-08-2000,341-449-1084,México,01000,si,0.18566782024618156,0.3307585964557216
13,52.0,,48000.0,0.0,NO,,318-765-7881,Colombia,17001,si,0.18372336618360813,0.3311810812661248
14,52.0,Female,25000.0,60.0,No,,322-873-8538,Colombia,080001,si,0.18547319184079858,0.3306080790755342
15,200.0,femenino,25000.0,85.0,N,1990-13-40,329-174-6427,México,72000,si,0.1883847763594491,0.32770118552518895
16,52.0,,0.0,0.0,SI,,344-862-0017,Chile,8320000,si,0.18699015768643568,0.33038029918712664
17,-5.0,F,48000.0,,,,325-549-6327,Perú,15001,si,0.18905429755767053,0.33170373413197346
18,,Female,0.0,0.0,NO,15-08-2000,357-912-3981,Colombia,11001,si,0.18474328478702842,0.3308872774072454
19,,Male,0.0,60.0,,12/25/1980,376-418-3980,Colombia,05001,si,0.18662939751327276,0.3300975641072348
20,200.0,masculino,0.0,35.0,SI,12/25/1980,328-685-1835,Perú,04001,si,0.19119169224253485,0.3305368529547887
